playerback: .word 16, 16
.byte 199,199,199,199,199,199,199,140,140,199,199,199,199,199,199,199,
199,199,199,199,199,199,140,158,158,140,199,199,199,199,199,199,
199,199,199,199,199,140,158,158,158,158,140,199,199,199,199,199,
199,199,199,199,140,158,140,158,158,140,158,140,199,199,199,199,
199,199,199,140,158,158,158,140,140,158,158,158,140,199,199,199,
199,199,140,158,140,158,158,158,158,158,158,140,158,140,199,199,
199,199,140,158,158,140,140,140,140,140,140,158,158,140,199,199,
199,140,140,158,158,158,158,158,158,158,158,158,158,140,140,199,
199,140,158,158,166,158,158,158,158,158,158,166,158,158,140,199,
199,140,158,158,166,158,158,158,158,158,158,166,158,158,140,199,
199,140,158,158,158,158,158,158,158,158,158,158,158,158,140,199,
199,140,158,158,158,158,158,158,158,158,158,158,158,158,140,199,
199,199,140,158,158,158,158,158,158,158,158,158,158,140,199,199,
199,81,235,140,140,140,140,140,140,140,140,140,140,235,81,199,
199,199,81,81,199,199,199,199,199,199,199,199,81,81,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
